中文名|英文名|CAS号|分子式|分子量|熔点(°C)|沸点(°C)|密度(g/cm³)|危险性|用途
水|water|7732-18-5|H2O|18.015|0|100|1.00|无|溶剂、冷却
乙醇|ethanol|64-17-5|C2H6O|46.07|-114.1|78.37|0.789|易燃|溶剂、消毒
甲醇|methanol|67-56-1|CH4O|32.04|-97.6|64.7|0.792|易燃有毒|溶剂、燃料
丙酮|acetone|67-64-1|C3H6O|58.08|-94.7|56.05|0.784|易燃|溶剂
苯|benzene|71-43-2|C6H6|78.11|5.5|80.1|0.879|致癌|溶剂、原料
氯化钠|sodium chloride|7647-14-5|NaCl|58.44|801|1465|2.16|无|调味、防腐
硫酸|sulfuric acid|7664-93-9|H2SO4|98.08|10|337|1.84|腐蚀|化工原料
硝酸|nitric acid|7697-37-2|HNO3|63.01|-42|83|1.51|腐蚀氧化|化工
盐酸|hydrochloric acid|7647-01-0|HCl|36.46|-27|110|1.18|腐蚀|化工
氨|ammonia|7664-41-7|NH3|17.03|-77.7|-33.3|0.73|有毒|制冷
氢氧化钠|sodium hydroxide|1310-73-2|NaOH|40.00|318|1390|2.13|腐蚀|碱剂
碳酸钙|calcium carbonate|471-34-1|CaCO3|100.09|825|分解|2.71|无|填料
乙酸|acetic acid|64-19-7|C2H4O2|60.05|16.6|118|1.05|腐蚀|调味
过氧化氢|hydrogen peroxide|7722-84-1|H2O2|34.01|-0.4|150|1.45|氧化|漂白
甲醛|formaldehyde|50-00-0|CH2O|30.03|-92|19|0.82|有毒|防腐
甲苯|toluene|108-88-3|C7H8|92.14|-95|110.6|0.87|易燃|溶剂
氯仿|chloroform|67-66-3|CHCl3|119.38|-63|61.2|1.49|致癌|溶剂
乙醚|diethyl ether|60-29-7|C4H10O|74.12|-116.3|34.6|0.71|极易燃|麻醉
甘油|glycerol|56-81-5|C3H8O3|92.09|17.8|290|1.26|无|保湿
葡萄糖|glucose|50-99-7|C6H12O6|180.16|146|分解|1.54|无|营养
蔗糖|sucrose|57-50-1|C12H22O11|342.30|186|分解|1.59|无|甜味
尿素|urea|57-13-6|CH4N2O|60.06|133|分解|1.32|无|肥料
咖啡因|caffeine|58-08-2|C8H10N4O2|194.19|238|178|1.23|刺激|兴奋剂
阿司匹林|aspirin|50-78-2|C9H8O4|180.16|135|140|1.40|刺激|解热镇痛
青霉素|penicillin|61-33-6|C16H18N2O4S|334.39|198|分解|1.41|过敏|抗生素
异丙醇|isopropyl alcohol|67-63-0|C3H8O|60.10|-89.5|82.6|0.786|易燃|溶剂、消毒
正丁醇|1-butanol|71-36-3|C4H10O|74.12|-89.8|117.7|0.810|易燃|溶剂、原料
乙二醇|ethylene glycol|107-21-1|C2H6O2|62.07|-13|197.3|1.113|有毒|防冻、原料
丙二醇|propylene glycol|57-55-6|C3H8O2|76.09|-59|188.2|1.036|低毒|保湿、溶剂
乙酸乙酯|ethyl acetate|141-78-6|C4H8O2|88.11|-83.6|77.1|0.902|易燃|溶剂、萃取
乙酸丁酯|butyl acetate|123-86-4|C6H12O2|116.16|-78|126|0.882|易燃|溶剂
二氯甲烷|dichloromethane|75-09-2|CH2Cl2|84.93|-96.7|39.6|1.326|可疑致癌|溶剂、脱漆
四氯化碳|carbon tetrachloride|56-23-5|CCl4|153.82|-23|76.7|1.594|有毒、致癌|溶剂、灭火剂
环己烷|cyclohexane|110-82-7|C6H12|84.16|6.5|80.7|0.779|易燃|溶剂、原料
正己烷|n-hexane|110-54-3|C6H14|86.18|-95|69|0.659|易燃、神经毒|溶剂、萃取
乙腈|acetonitrile|75-05-8|C2H3N|41.05|-45.7|81.6|0.786|易燃、有毒|溶剂、色谱
四氢呋喃|tetrahydrofuran|109-99-9|C4H8O|72.11|-108.4|66|0.889|极易燃|溶剂、反应介质
二甲基亚砜|dimethyl sulfoxide|67-68-5|C2H6OS|78.13|18.5|189|1.101|低毒|溶剂、渗透剂
吡啶|pyridine|110-86-1|C5H5N|79.10|-41.6|115.2|0.983|易燃、有毒|溶剂、制药
苯酚|phenol|108-95-2|C6H6O|94.11|40.5|181.7|1.071|腐蚀、有毒|消毒、树脂
苯胺|aniline|62-53-3|C6H7N|93.13|-6.3|184.1|1.022|有毒、致癌|染料、橡胶
硝基苯|nitrobenzene|98-95-3|C6H5NO2|123.11|5.7|210.9|1.199|有毒、可燃|溶剂、苯胺原料
甲酸|formic acid|64-18-6|CH2O2|46.03|8.4|100.8|1.220|腐蚀|防腐、橡胶
乙酸酐|acetic anhydride|108-24-7|C4H6O3|102.09|-73.1|139.9|1.082|腐蚀、易燃|乙酰化试剂
柠檬酸|citric acid|77-92-9|C6H8O7|192.12|153|分解|1.665|刺激|酸味剂、清洁
抗坏血酸|ascorbic acid|50-81-7|C6H8O6|176.12|190|分解|1.694|无|抗氧化、维生素
