#国家元素出产数据
#格式：国家|元素符号1,元素符号2,...
中国|Li,Be,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
美国|Li,Be,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Zr,Nb,Mo,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Er,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
俄罗斯|Li,Be,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
澳大利亚|Li,Be,Na,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Zr,Nb,Mo,Ag,Cd,In,Sn,Sb,Ta,W,Re,Au,Hg,Tl,Pb,Bi,Th,U
加拿大|Li,Be,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
巴西|Li,Be,Na,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Zr,Nb,Mo,Ag,Sn,Sb,Ta,W,Au,Hg,Pb,Th
南非|Li,Na,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb
印度|Fe,Cr,Mn,Cu,Zn,Pb,Al,Mg,Na,Ca,K,Ti,V
德国|Li,Na,Mg,Al,K,Ca,Fe,Cu,Zn,Sn,Pb
日本|Na,Mg,Al,Ca,Fe,Cu,Zn,Sn,Sb,Pb,Ag,Au
智利|Cu,Li,Mo,Ag,Au,Fe,K,Na,S,Re,Se,Ta
蒙古|Cu,Au,Mo,Fe,U,W,Sn,Pb,Zn,Ag,Sb,Ta
哈萨克斯坦|U,Cr,Zn,Pb,Cu,Mn,Fe,Al,Mg,Ti,Au,Ag,Mo
刚果（金）|Co,Cu,Nb,Ta,Sn,W,Au,Ag,Zn,Pb,Ge,Cd,Li
赞比亚|Cu,Co,Zn,Pb,Ag,Au,Se,Ge,U
秘鲁|Cu,Ag,Au,Zn,Pb,Sn,Mo,Bi,Se,Te,In,Sb
墨西哥|Ag,Cu,Au,Zn,Pb,Mo,Fe,Sb,Bi,Se,Hg,Tl,Sn
