氢 (H₂)|最轻的气体，可燃的清洁能源
氦 (He)|最不活泼的单质，沸点极低的惰性气体
硼 (B)|高熔点黑色固体，半导体和陶瓷增强剂
金刚石 (C)|最硬的天然物质，珠宝和切割工具
石墨 (C)|导电层状结构，电极和润滑材料
无定形碳 (C)|多孔吸附材料，活性炭和墨汁
富勒烯 (C₆₀)|球状碳分子，纳米材料
石墨烯 (C)|单层碳原子，高导电导热新型材料
氮气 (N₂)|大气主要成分，化学性质稳定的保护气
氧气 (O₂)|无色无味气体，生命活动必需助燃剂
臭氧 (O₃)|淡蓝色气体，大气层的紫外线吸收层
氟气 (F₂)|最活泼的非金属，强氧化性和腐蚀性
氖气 (Ne)|惰性气体，通电发红光的信号光源
白磷 (P₄)|蜡状易燃固体，剧毒且常温自燃
红磷 (P)|暗红色粉末，安全火柴和阻燃剂
黑磷 (P)|层状半导体，新型电子材料
硫磺 (S)|黄色脆性固体，硫酸和橡胶工业原料
氯气 (Cl₂)|黄绿色有毒气体，消毒和化工原料
氩气 (Ar)|最丰富的惰性气体，保护性填充气体
晶态硅 (Si)|灰黑色有金属光泽的半导体，电子工业基础材料
硒 (Se)|光敏半导体，光电和玻璃着色材料
溴 (Br₂)|唯一液态非金属，易挥发红棕色液体
氪气 (Kr)|惰性气体，高效节能灯填充物
碘 (I₂)|紫黑色固体，易升华的医用消毒剂
氙气 (Xe)|惰性气体，高亮度灯和医疗麻醉剂
灰砷 (As)|脆性准金属，半导体和杀虫剂原料
碲 (Te)|银白色脆性准金属，合金添加剂和半导体材料
砹 (At)|放射性卤素，极不稳定的人工元素
氡气 (Rn)|放射性惰性气体，自然辐射源
锂 (Li)|密度最小的金属，高能电池的重要材料
铍 (Be)|质轻而坚硬的稀有金属，用于航天与核工业
钠 (Na)|质地柔软的活泼金属，强还原剂和导热剂
镁 (Mg)|质轻的活泼金属，合金和烟花的重要成分
铝 (Al)|地壳中含量最高的金属，质轻导电耐腐蚀
钾 (K)|非常活泼的碱金属，化学试剂和钾肥原料
钙 (Ca)|活泼的碱土金属，骨骼成分和炼钢脱氧剂
钪 (Sc)|稀有的轻稀土金属，高性能合金的添加剂
钛 (Ti)|强度高、耐腐蚀的轻金属，用于航空航天
钒 (V)|坚硬的银灰色金属，炼钢的优良添加剂
铬 (Cr)|硬度最高的金属，不锈钢的关键成分
锰 (Mn)|硬而脆的灰色金属，炼钢脱硫脱氧剂
铁 (Fe)|产量最大、应用最广的金属，磁性的核心
钴 (Co)|硬而有磁性的金属，高温合金与电池材料
镍 (Ni)|硬而延展性好的金属，不锈钢和电镀材料
铜 (Cu)|导电导热性极佳的金属，广泛用于电工材料
锌 (Zn)|蓝白色抗腐蚀金属，主要用于镀锌和电池
镓 (Ga)|低熔点金属（29.8°C），半导体工业关键材料
锗 (Ge)|重要的半导体材料，用于晶体管和红外光学
铷 (Rb)|非常活泼的碱金属，光电池和特殊玻璃
锶 (Sr)|化学性质活泼的碱土金属，烟花红色着色剂
钇 (Y)|重要的稀土金属，激光和超导材料成分
锆 (Zr)|耐腐蚀的稀有金属，核反应堆包壳材料
铌 (Nb)|耐高温的超导金属，用于特种合金钢
钼 (Mo)|高熔点高强度金属，特种钢和催化剂材料
锝 (Tc)|第一个人工合成的元素，具有放射性
钌 (Ru)|稀有的铂族金属，耐磨电极和催化剂
铑 (Rh)|极昂贵的铂族金属，汽车催化剂和电镀材料
钯 (Pd)|吸附氢气能力强的金属，催化剂和首饰材料
银 (Ag)|导电导热性最好的金属，首饰和感光材料
镉 (Cd)|蓝白色有毒金属，用于电池和电镀
铟 (In)|质软的低熔点金属，透明导电膜材料
锡 (Sn)|“锡板”的主要金属，低熔点和抗腐蚀
锑 (Sb)|质脆的银色金属，铅酸电池的硬化剂
铯 (Cs)|最活泼的金属，用于原子钟和光电器件
钡 (Ba)|化学性质活泼的碱土金属，烟火绿色着色剂
镧 (La)|活泼的稀土金属，镍氢电池和光学玻璃
铈 (Ce)|最丰富的稀土金属，打火石和抛光粉材料
镨 (Pr)|稀土金属，用于永磁体和有色玻璃
钕 (Nd)|重要的稀土金属，最强永磁体材料
钷 (Pm)|具有放射性的稀土金属，核电池材料
钐 (Sm)|稀土金属，用于永磁体和核反应控制
铕 (Eu)|稀土金属，荧光粉和核控制材料
钆 (Gd)|具有铁磁性的稀土金属，磁致冷材料
铽 (Tb)|稀土金属，荧光材料和磁光存储材料
镝 (Dy)|高磁化率的稀土金属，永磁体添加剂
钬 (Ho)|稀土金属，激光材料和磁体添加剂
铒 (Er)|稀土金属，光纤放大器和激光材料
铥 (Tm)|稀有的稀土金属，便携式X射线机光源
镱 (Yb)|稀土金属，激光器和压力传感器材料
镥 (Lu)|最重最硬的稀土金属，石油催化剂
铪 (Hf)|高熔点的稀有金属，核反应堆控制棒材料
钽 (Ta)|极高耐腐蚀性的金属，电容器和手术材料
钨 (W)|熔点最高的金属，灯丝和硬质合金材料
铼 (Re)|稀有高熔点金属，高温合金和催化剂
锇 (Os)|密度最大的金属，硬质合金和催化剂
铱 (Ir)|最耐腐蚀的金属之一，高标准砝码材料
铂 (Pt)|稳定的贵金属，催化剂和珠宝首饰材料
金 (Au)|延展性最好的金属，货币储备和首饰材料
汞 (Hg)|常温下唯一的液态金属，温度计和电极材料
铊 (Tl)|有毒的软金属，曾用于红外光学材料
铅 (Pb)|密度大、耐腐蚀的重金属，曾广泛用于电池
铋 (Bi)|低熔点的脆金属，不伤环境的“绿色金属”
钋 (Po)|高放射性的稀有金属，中子源材料
钫 (Fr)|放射性极强的碱金属，极不稳定的人工元素
镭 (Ra)|著名的放射性金属，曾用于发光涂料
